time,X_value,Y_value,Z_value
15.872,7.12344,-3.35061,4.88970
15.990,8.37651,-2.56063,6.44242
16.073,6.49691,-3.63663,7.60015
16.171,5.33918,-2.60149,6.53777
16.274,2.50614,-2.22012,7.76360
16.372,3.28250,-0.39499,6.75569
16.474,6.89190,-3.18716,5.73417
16.572,7.15068,-3.18716,5.44814
16.672,7.31413,-3.02372,5.78865
16.772,7.49119,-3.06458,5.61158
16.872,7.61377,-3.22802,4.95781
16.972,8.02238,-3.37785,4.86246
17.075,7.80446,-3.78646,4.63092
17.172,8.19945,-3.47319,4.05886
17.272,8.47186,-3.55491,3.71835
17.375,8.15859,-3.86818,3.81370
17.475,8.36289,-3.52767,3.80008
17.573,6.96000,-3.60939,-1.11687
17.673,8.09049,-3.37785,2.32908
17.773,8.40375,-3.44595,3.18716
17.873,8.86685,-3.54129,3.69111
17.973,8.53996,-3.32336,3.63663
18.073,8.51272,-3.60939,3.51405
18.176,8.58082,-3.69111,3.45957
18.273,9.00305,-3.82732,3.17354
18.376,8.45824,-3.51405,0.21793
18.473,8.82598,-3.88180,-0.92618
18.574,9.26184,-3.41871,-0.83084
18.674,8.67616,-4.46747,3.89542
18.777,8.56720,-3.43233,4.64454
18.874,8.22669,-3.25526,5.35280
18.974,8.11773,-2.69683,4.56282
19.074,7.94066,-2.87389,4.57644
19.175,8.14497,-2.96924,4.61730
19.274,8.07687,-2.99648,4.50834
19.375,8.07687,-3.18716,4.29041
19.476,8.22669,-3.01010,4.52196
19.576,8.17221,-3.05096,4.08610
19.682,8.11773,-2.91475,4.44023
19.775,8.21307,-3.03734,4.24955
19.875,8.41737,-3.02372,4.01800
19.975,7.79084,-3.62301,3.74560
20.078,8.33565,-3.13268,4.18145
20.176,8.36289,-3.21440,3.94990
20.276,8.24031,-3.17354,4.00438
20.376,8.14497,-3.20078,4.38575
20.476,8.10411,-3.55491,4.64454
20.576,7.02810,-3.35061,4.08610
20.697,7.96790,-2.83303,4.73988
20.776,7.54567,-3.60939,5.48900
20.877,4.53558,-3.96352,7.25965
21.004,6.55139,-2.86027,3.52767
21.076,4.29041,-2.91475,3.30974
21.176,7.39585,-4.15421,7.50481
21.276,6.06105,-5.52986,-1.13049
21.377,8.92133,-5.88399,-4.37213
21.476,6.59225,-6.45604,-4.12697
21.581,5.96571,-5.38004,-2.38356
