time,X_value,Y_value,Z_value
15.932,-7.96790,3.77284,3.86818
16.034,-6.85104,4.59006,5.61158
16.133,-7.66826,3.80008,6.21088
16.235,-7.73636,3.03734,3.06458
16.334,-8.41737,4.48109,4.23593
16.436,-8.15859,4.03162,4.94419
16.541,-7.21878,4.30403,4.03162
16.634,-6.18364,3.73198,3.22802
16.734,-8.49910,4.63092,4.68540
16.835,-7.98152,3.78646,5.31194
16.934,-8.59444,4.20869,6.36070
17.035,-7.96790,3.77284,4.08610
17.135,-8.81236,5.09401,-1.02153
17.235,-7.79084,4.12697,2.64235
17.335,-8.04963,4.45385,5.12125
17.437,-8.06325,3.56853,2.99648
17.536,-7.57291,4.18145,4.26317
17.635,-6.91914,4.56282,5.27107
17.740,-7.96790,4.26317,4.79436
17.839,-7.46395,3.47319,4.34489
17.939,-7.79084,3.71835,6.34708
18.061,-6.75569,3.67749,4.76712
18.139,-7.89980,4.52196,5.02591
18.239,-7.79084,4.34489,5.03953
18.340,-7.58653,4.80798,5.43452
18.444,-8.25393,3.35061,4.69902
18.541,-8.53996,4.48109,4.50834
18.640,-6.72845,4.83522,3.50043
18.744,-6.02019,7.25965,1.79789
18.841,-10.18802,4.91695,0.64016
18.944,-9.49338,5.28470,1.75702
19.089,-8.18583,4.52196,0.81722
19.150,-7.91342,4.12697,1.17135
19.242,-7.87256,4.04524,2.45166
19.341,-8.96219,5.62520,0.81722
19.442,-8.47186,5.80227,0.02724
19.541,-8.98943,4.84884,1.28031
19.641,-7.81808,4.33127,1.08963
19.741,-7.96790,5.88399,0.51757
19.841,-8.14497,4.76712,-0.61292
19.944,-8.51272,4.71264,-0.40861
20.070,-8.73064,4.72626,-0.80360
20.142,-9.00305,4.79436,-1.57996
20.242,-8.44462,4.05886,-1.38928
20.342,-8.63530,3.36423,-2.31546
20.442,-8.98943,2.88751,-1.04877
20.544,-8.47186,3.44595,-1.32117
20.642,-8.11773,3.17354,-1.04877
20.744,-8.86685,3.35061,-0.95342
20.842,-11.59092,1.82513,0.31327
20.945,-11.74074,2.98286,-0.87170
21.061,-9.58873,0.62654,-3.24164
21.143,-8.36289,2.53338,-0.20431
