time,X_value,Y_value,Z_value
15.152,-8.53996,1.74340,1.68892
15.248,-9.67045,2.07029,2.64235
15.348,-9.73855,0.92618,2.42442
15.449,-8.82598,2.64235,2.41080
15.548,-8.97581,2.26098,2.61511
15.662,-7.83170,1.34841,1.04877
15.748,-8.45824,2.30184,2.01581
15.849,-5.99295,5.47538,1.28031
15.948,-10.56939,6.06105,0.64016
16.051,-8.86685,6.03381,0.57205
16.149,-6.98724,4.71264,-0.58567
16.252,-9.50700,5.29832,2.15201
16.349,-8.11773,4.78074,0.98067
16.450,-8.90771,4.83522,3.13268
16.549,-8.21307,4.84884,0.85808
16.650,-8.56720,4.76712,1.22583
16.753,-8.58082,4.57644,1.15773
16.849,-8.64892,4.53558,1.51186
16.951,-8.77150,4.44023,1.25307
17.066,-8.67616,4.15421,1.22583
17.149,-8.58082,4.64454,1.70254
17.249,-8.43099,4.45385,1.55272
17.352,-8.78512,4.31765,1.77065
17.450,-8.47186,4.59006,2.09753
17.552,-8.40375,4.37213,2.02943
17.650,-8.29479,4.38575,1.81151
17.750,-8.52634,4.42661,1.94771
17.851,-8.45824,4.53558,2.12477
17.950,-8.37651,4.72626,1.96133
18.056,-8.37651,4.48109,1.67530
18.152,-8.58082,4.39937,1.81151
18.250,-8.53996,4.53558,1.85237
18.352,-8.79874,3.99076,1.79789
18.450,-8.70340,4.27679,2.15201
18.554,-8.93495,4.95781,2.50614
18.657,-8.73064,2.17926,0.19068
18.751,-7.95428,3.80008,1.48462
18.852,-8.60806,4.00438,4.12697
18.953,-8.44462,3.56853,2.24736
19.064,-8.96219,3.44595,2.64235
19.157,-8.51272,3.74560,3.02372
19.252,-8.44462,3.41871,2.81941
19.354,-8.41737,3.44595,2.99648
19.452,-8.60806,3.13268,3.07820
19.553,-8.47186,3.11906,3.15992
19.652,-8.29479,3.15992,3.18716
19.753,-8.73064,2.95562,3.40509
19.855,-8.18583,3.28250,2.79217
19.953,-8.77150,3.05096,3.82732
20.053,-8.58082,3.40509,3.11906
20.155,-8.71702,3.09182,3.32336
20.254,-8.43099,3.25526,3.25526
20.355,-8.24031,2.95562,3.70473
20.453,-8.52634,2.99648,3.77284
20.555,-8.18583,2.83303,3.45957
20.653,-8.41737,2.69683,3.58215
20.753,-8.33565,2.60149,3.89542
20.856,-7.54567,3.02372,3.36423
20.954,-8.77150,2.83303,4.04524
21.054,-8.75788,2.80579,3.47319
21.155,-8.40375,3.41871,2.22012
21.254,-9.50700,3.30974,2.73769
21.355,-8.63530,3.58215,1.47100
21.455,-9.53424,2.83303,2.45166
21.555,-9.03029,3.77284,0.83084
21.655,-8.66254,3.80008,1.07601
21.754,-9.05753,3.09182,1.10325
21.857,-8.79874,3.40509,0.12258
21.958,-8.60806,3.94990,0.74912
22.055,-9.97009,3.84094,0.44947
22.159,-8.97581,3.84094,1.28031
22.255,-8.48548,3.41871,1.71616
22.355,-9.38442,3.26888,1.34841
22.457,-8.89409,4.16783,2.20650
22.558,-10.61025,4.76712,2.47890
22.657,-6.78293,4.88970,0.21793
22.757,-5.06677,4.52196,0.99429
22.856,-7.81808,5.63882,2.86027
22.958,-7.45033,4.24955,1.94771
23.067,-8.58082,5.82951,2.69683
23.156,-4.71264,1.11687,-6.51053
23.257,-6.81017,1.11687,-2.64235
23.368,-9.57510,3.89542,0.13620
