time,X_value,Y_value,Z_value
18.874,5.85675,-12.59882,2.35632
18.975,2.95562,-8.70340,3.14630
19.074,0.44947,-13.67483,-0.70826
19.178,4.91695,-18.06058,-0.58567
19.276,6.61949,-4.38575,8.10411
19.378,0.64016,-5.82951,5.85675
19.476,3.54129,-17.81541,4.48109
19.576,-0.66740,-4.98505,-4.07248
19.676,-2.47890,-1.59358,0.43585
19.780,4.76712,-15.03686,-1.98857
19.877,2.58787,-8.17221,5.69331
19.977,5.27107,-2.76493,6.22450
20.078,8.85323,-11.86332,1.40290
20.178,1.15773,-17.32508,2.11115
20.278,-1.48462,-7.94066,-1.47100
20.378,3.24164,-4.69902,3.97714
20.480,1.82513,-1.85237,-2.75131
20.578,-0.83084,-17.21612,-5.35280
20.680,0.20431,-12.55796,-0.87170
20.778,1.33479,-7.13706,3.75922
20.879,5.42090,-5.63882,6.53777
20.979,-0.62654,-16.08563,-1.07601
21.079,-2.19288,-10.16078,-0.12258
21.180,-0.55843,-7.38223,-1.11687
21.279,3.25526,-8.44462,-1.51186
21.381,2.30184,-14.54653,-1.81151
21.479,2.47890,-10.66473,-5.55710
21.579,-0.57205,-10.16078,0.14982
21.679,1.68892,-6.98724,-4.24955
21.784,1.06239,-8.73064,2.75131
21.879,0.50395,-11.52281,-1.77065
21.979,3.29612,-8.90771,-2.05667
22.082,-2.47890,-11.37299,-5.40728
22.179,-6.11554,-11.99953,-1.02153
22.282,-9.13925,-5.48900,-4.00438
22.380,-3.02372,-8.02238,-0.05448
22.480,-0.20431,-11.53643,-1.55272
22.580,-0.31327,-11.76798,0.21793
22.680,-2.23374,-10.89628,-3.26888
22.782,-6.19726,-9.77941,0.64016
22.882,-4.27679,-8.44462,0.06810
22.992,-3.35061,-6.08830,1.60720
23.082,7.17792,-8.39013,3.50043
23.183,-0.54481,-9.03029,4.05886
23.282,-1.26669,-11.76798,-2.92837
23.382,-3.78646,-9.72493,-1.55272
23.486,-3.58215,-10.02458,-3.11906
23.582,-0.55843,-13.32070,-2.73769
23.684,-1.11687,-4.72626,-0.57205
23.783,0.54481,-10.84180,-1.10325
23.882,6.96000,-12.55796,2.83303
23.982,-1.15773,-10.76007,0.83084
24.084,0.73550,-8.03601,0.57205
24.183,0.44947,-9.47976,1.33479
24.284,2.32908,-7.99514,1.70254
24.383,3.73198,-8.67616,0.46309
24.483,3.47319,-9.19374,1.22583
24.583,4.31765,-8.82598,1.41652
24.684,4.12697,-9.54786,1.89323
24.783,6.14278,-10.09268,0.25879
24.885,5.21659,-8.96219,-0.19068
24.994,6.04743,-8.09049,0.77636
25.083,5.55710,-7.99514,0.44947
25.186,6.31984,-8.78512,1.28031
25.284,6.21088,-8.32203,0.83084
25.384,5.61158,-9.34356,1.79789
25.484,6.74207,-9.68407,3.54129
25.585,1.02153,-4.53558,3.44595
25.684,5.69331,-7.45033,4.95781
25.785,5.18935,-8.02238,3.63663
25.884,4.48109,-7.79084,3.70473
25.984,4.57644,-8.56720,3.97714
26.085,3.59577,-8.78512,4.57644
26.185,3.96352,-8.21307,4.22231
26.284,3.96352,-6.61949,3.60939
26.387,4.88970,-6.81017,4.27679
26.485,5.63882,-7.04172,4.80798
26.585,6.19726,-6.68759,4.72626
26.686,6.40156,-6.44242,4.69902
26.786,6.06105,-5.80227,4.93057
26.885,5.97933,-5.66606,5.31194
26.985,6.52415,-4.99867,5.67969
27.085,6.15640,-4.99867,5.73417
27.186,5.73417,-4.79436,4.65816
27.286,6.52415,-5.05315,5.27107
27.386,6.30622,-3.22802,3.52767
27.488,7.16430,-5.42090,5.65244
27.586,9.95647,-4.18145,5.20297
27.688,7.92704,-3.60939,4.61730
27.786,6.87828,-4.12697,5.48900
27.886,6.06105,-4.29041,5.01229
28.007,6.57863,-4.69902,5.17573
28.086,6.90552,-4.57644,6.19726
28.188,7.96790,-4.29041,3.47319
28.286,8.26755,-4.63092,3.15992
28.386,8.15859,-4.69902,2.32908
28.491,8.48548,-4.95781,3.01010
28.586,7.76360,-4.88970,3.10544
28.689,7.28689,-4.07248,5.20297
28.787,7.94066,-4.34489,4.11335
28.889,7.02810,-4.04524,4.44023
28.998,7.19154,-4.38575,3.45957
29.087,8.00876,-4.69902,3.29612
29.187,8.04963,-4.63092,3.25526
29.289,8.28117,-4.57644,5.38004
29.387,8.06325,-4.90333,2.88751
29.487,8.06325,-4.69902,2.54700
29.589,8.63530,-5.13487,2.47890
29.687,8.44462,-5.38004,3.06458
29.788,8.24031,-4.65816,2.31546
29.887,8.40375,-4.83522,2.34270
29.987,8.26755,-3.94990,2.30184
30.089,8.49910,-4.57644,2.24736
30.188,7.85894,-4.82160,2.24736
30.288,7.01448,-4.48109,2.22012
30.389,7.25965,-5.13487,2.98286
30.488,7.66826,-4.67178,2.95562
30.588,8.03601,-3.86818,2.65597
30.688,7.99514,-4.93057,2.66959
30.790,8.36289,-4.93057,2.47890
30.888,8.51272,-4.61730,2.12477
30.988,8.36289,-4.29041,2.22012
31.117,8.63530,-4.46747,2.26098
31.188,8.47186,-4.49471,2.42442
31.289,8.37651,-4.49471,2.39718
31.389,8.28117,-4.57644,2.94200
31.491,8.32203,-4.44023,3.06458
31.589,8.26755,-4.67178,2.95562
31.689,8.30841,-4.65816,3.10544
